32296	rivers	42
33300	scorn	42
34819	sorts	42
36437	symptom	42
37947	troublesome	42
39307	vices	42
40081	weary	42
40574	yield	42
2717	afraid	41
3607	anguish	41
3989	apply	41
7400	censured	41
8444	colour	41
10443	custom	41
11399	describes	41
13786	erasmus	41
15098	feed	41
15210	fernelius	41
15287	ficinus	41
15746	follows	41
15995	fourth	41
16089	freed	41
19418	inconveniences	41
19850	inhabitants	41
21820	lead	41
22192	licet	41
23920	mercury	41
24094	middle	41
24864	move	41
32211	ride	41
33459	secret	41
33533	seeing	41
34182	silver	41
34266	singing	41
35696	sua	41
37494	tongue	41
817	23	40
3535	ancient	40
4028	approves	40
4405	artificial	40
6168	brave	40
7786	christian	40
8962	confesseth	40
9271	consult	40
9313	contain	40
11282	deo	40
12606	dost	40
14760	facit	40
14830	faith	40
15158	feral	40
15989	fountain	40
18497	hours	40
19482	inde	40
23882	mentis	40
24461	moderate	40
25532	news	40
25600	nil	40
32413	rose	40
32450	round	40
32697	saepe	40
33015	satisfied	40
33575	seldom	40
34228	simul	40
35113	sport	40
37202	thomas	40
39598	virtuous	40
39659	vitae	40
40107	weep	40
40321	wish	40
2293	admit	39
4326	arms	39
5448	begin	39
10995	deformed	39
11458	desires	39
13447	enamoured	39
14139	examine	39
16126	frequently	39
18349	honesty	39
21268	killed	39
22583	lovely	39
23875	mention	39
25396	neglect	39
26440	offer	39
28464	philosophy	39
32295	river	39
33545	sees	39
37482	tom	39
39287	vi	39
39824	voluntarily	39
40435	worst	39
40561	yea	39
3133	already	38
3419	amore	38
4676	athens	38
4945	authors	38
6255	brings	38
15340	fight	38
15743	followers	38
18180	hildesheim	38
20891	jesuit	38
22331	lipsius	38
23037	maintained	38
23431	masters	38
23568	meantime	38
25158	naked	38
25217	nat	38
26473	oftentimes	38
28831	plater	38
29666	precepts	38
34330	site	38
34571	soft	38
35468	stories	38
37946	troubles	38
2077	acknowledge	37
2281	admire	37
3177	altogether	37
4524	ass	37
5359	beast	37
6184	bread	37
8702	complains	37
8917	condition	37
10231	cui	37
10492	cyprian	37
11397	described	37
13650	ep	37
13720	epistle	37
15066	feasts	37
15928	forth	37
16091	freely	37
16956	glasses	37
17827	hearing	37
18070	heroical	37
18495	hour	37
18673	hypochondriacal	37
20727	ita	37
20917	job	37
22488	longer	37
23711	melancthon	37
25264	naught	37
29416	practice	37
29743	prescribe	37
30029	produce	37
30778	qua	37
30845	qualified	37
33438	seat	37
34267	single	37
34311	sir	37
35114	sports	37
36345	swear	37
37539	torments	37
38632	usually	37
40336	witches	37
2383	adust	36
3987	applied	36
7553	change	36
9965	creature	36
10172	cruel	36
12270	distressed	36
13927	esteem	36
15672	fly	36
16106	french	36
18374	honours	36
20391	intolerable	36
23035	main	36
23572	measure	36
27148	pale	36
27910	perceived	36
29624	pratensis	36
30745	puts	36
30972	quicquid	36
33836	service	36
34369	skin	36
34671	solomon	36
36392	sword	36
37535	tormented	36
38286	una	36
39919	vult	36
40072	wear	36
40271	willingly	36
1963	accidents	35
3425	amoris	35
4300	arm	35
4460	asia	35
5388	became	35
6417	burn	35
6863	canst	35
7236	cato	35
8696	complain	35
9367	contend	35
10310	cupid	35
12327	divert	35
12672	draw	35
12957	eased	35
13856	errors	35
14880	fame	35
15315	fields	35
16719	generous	35
17855	heavens	35
20993	jovius	35
21286	kingdoms	35
23228	manners	35
23797	memory	35
24647	months	35
26538	omnibus	35
27285	papists	35
27299	paradise	35
28199	persuaded	35
28208	persuasion	35
28568	picture	35
28787	plagues	35
28860	plays	35
31395	reckons	35
31658	rejected	35
32396	roots	35
32987	sat	35
33024	saturn	35
33062	saved	35
34461	smell	35
36594	tantum	35
38336	unde	35
38843	vapours	35
40242	wicked	35
40430	worship	35
40614	zeal	35
3629	animae	34
5257	barren	34
5689	betwixt	34
6146	brains	34
7080	carriage	34
7471	certainly	34
8798	conceits	34
9877	covetousness	34
10114	cross	34
12365	division	34
12709	drive	34
13501	ends	34
15852	forget	34
21041	judge	34
24827	motions	34
24857	mouth	34
25353	neck	34
25670	nobis	34
26428	offended	34
26477	oil	34
28569	pictures	34
29283	possible	34
31061	quos	34
32204	riches	34
33632	send	34
35091	spoken	34
36033	summer	34
37594	touch	34
40252	wierus	34
40257	wild	34
40289	winds	34
1757	abide	33
3015	alike	33
5382	beautiful	33
6044	borage	33
6186	break	33
8572	comment	33
9330	contemned	33
13401	emperors	33
14905	family	33
14964	fashion	33
14986	fat	33
15739	folks	33
15866	forma	33
15912	forsaken	33
16790	genus	33
17063	going	33
17305	gregory	33
17691	happily	33
18867	illiterate	33
18905	images	33
20156	instead	33
20900	jewels	33
21888	led	33
23443	match	33
24100	midst	33
24749	morning	33
25245	naturae	33
25823	note	33
27476	party	33
28100	pernicious	33
29209	porta	33
32273	rise	33
33543	seems	33
33898	severe	33
34973	spent	33
36348	sweat	33
36637	taste	33
39056	venice	33
39637	visions	33
39982	wanton	33
40422	worldly	33
1742	abhor	32
2122	action	32
2419	adversity	32
2848	agrippa	32
3933	apparel	32
4263	arise	32
4336	arnoldus	32
4944	authority	32
5460	behalf	32
6033	bonum	32
6102	bowels	32
6241	brief	32
7399	censure	32
7608	charity	32
9683	corpore	32
10131	crown	32
10198	cry	32
10304	cup	32
10336	cur	32
10946	defect	32
11457	desired	32
11583	deum	32
11858	dii	32
14189	excess	32
14239	excrements	32
14855	falling	32
14932	fantastical	32
15730	fol	32
15776	foot	32
16891	gifts	32
17045	goddess	32
17092	gordonius	32
17320	grievances	32
17737	harsh	32
17860	heaviness	32
19999	inquit	32
20282	intent	32
21852	leaves	32
22653	lucretia	32
24507	moist	32
26395	odious	32
26528	omit	32
26655	opportunity	32
28320	petronius	32
28574	pieces	32
28701	piso	32
29059	politicians	32
29661	precedent	32
30630	punishment	32
30649	pure	32
31900	reports	32
33429	seas	32
33583	self	32
34395	slaves	32
34871	spanish	32
36563	tamen	32
39739	vix	32
39777	voice	32
40270	willing	32
851	26	31
2829	agree	31
3835	anything	31
3951	appears	31
4058	apuleius	31
5471	behind	31
6085	bound	31
6415	buried	31
9135	consent	31
9371	contends	31
9435	contra	31
10337	cura	31
12246	distinct	31
12921	ea	31
13074	education	31
13954	eternal	31
14743	facile	31
18141	hierom	31
18326	homo	31
19743	infirmity	31
20685	island	31
20884	jest	31
21092	juice	31
21828	lean	31
21840	learn	31
23071	making	31
24003	met	31
24116	miles	31
24131	milk	31
24134	mille	31
25104	mutual	31
29024	poison	31
30166	promises	31
30310	prosper	31
30869	quantity	31
31801	removed	31
31850	repent	31
31851	repentance	31
32500	rude	31
32802	salt	31
33531	seed	31
34131	sign	31
35775	subjects	31
35881	success	31
36165	supper	31
36265	suspect	31
36723	tells	31
36747	temperate	31
37164	thieves	31
38015	tum	31
38157	twas	31
862	27	30
2424	advice	30
2729	afterwards	30
3662	animum	30
3731	ante	30
5318	battle	30
5740	bid	30
5953	bodine	30
6376	build	30
7241	cattle	30
8245	coelum	30
9284	consumed	30
9778	cost	30
9810	countenance	30
9992	credit	30
10597	damned	30
10924	deep	30
10976	defines	30
12028	discontented	30
12147	disposed	30
12151	disposition	30
12963	east	30
13198	eight	30
13329	elsewhere	30
13523	england	30
13895	especial	30
13929	esteemed	30
15978	fought	30
16242	fruits	30
16779	gentlemen	30
17143	graces	30
17946	helped	30
17975	henry	30
18033	heretics	30
18158	highly	30
18604	hunger	30
22342	list	30
23544	mayst	30
23901	mercatus	30
24467	modern	30
25424	neighbour	30
25999	nunquam	30
27668	paulus	30
27785	peevish	30
28012	perhaps	30
28573	piece	30
28917	plerumque	30
29271	possessed	30
29888	prison	30
30393	provinces	30
30519	puellae	30
31265	rational	30
31302	re	30
31438	recreations	30
32660	sacrifice	30
33266	scoff	30
34216	simple	30
36670	teach	30
36767	temples	30
37576	tot	30
37976	trust	30
38386	unfit	30
39557	virgin	30
39862	vos	30
39886	vows	30
40129	wench	30
40446	wound	30
912	31	29
2285	admires	29
2707	afford	29
3631	animal	29
4238	arguments	29
5194	baptista	29
5790	bishop	29
6017	bones	29
11286	deos	29
12233	distemperature	29
12571	door	29
12745	drunk	29
12935	ear	29
12967	easy	29
13005	eccles	29
13524	english	29
14562	exquisite	29
14715	faces	29
15175	fere	29
15450	fishes	29
15469	fixed	29
15965	forty	29
16482	gain	29
17293	green	29
18104	heurnius	29
18370	honourable	29
18612	hunting	29
18797	ignorant	29
19043	impatient	29
19691	inferior	29
20602	iron	29
20731	italian	29
22546	lords	29
23147	malum	29
23682	mel	29
24229	minus	29
24916	mulier	29
25397	neglected	29
26083	obedience	29
26209	observations	29
26360	oculis	29
27383	paris	29
29744	prescribed	29
30823	quaest	29
31306	reader	29
31825	renowned	29
32091	return	29
32573	runs	29
33669	sensible	29
33963	sheep	29
35527	strength	29
37840	tricks	29
38371	undone	29
39168	vero	29
39613	vis	29
39663	vitam	29
39984	wants	29
