"id","zodis","skaicius"
1101,"479",1
1102,"48",3
1103,"480",2
1104,"481",1
1105,"482",1
1106,"483",1
1107,"484",1
1108,"485",1
1109,"486",1
1110,"4865heliodorus",1
1111,"487",1
1112,"488",1
1113,"489",1
1114,"49",7
1115,"490",1
1116,"491",1
1117,"492",1
1118,"493",1
1119,"494",1
1120,"495",1
1121,"496",1
1122,"497",2
1123,"498",1
1124,"499",1
1125,"4a",1
1126,"4to",1
1127,"5",224
1128,"50",18
1129,"500",4
1130,"501",2
1131,"502",1
1132,"503",1
1133,"504",1
1134,"505",2
1135,"506",1
1136,"507",1
1137,"508",1
1138,"509",1
1139,"51",2
1140,"51°",1
1141,"510",1
1142,"511",1
1143,"512",1
1144,"513",1
1145,"514",1
1146,"515",1
1147,"516",1
1148,"517",1
1149,"518",1
1150,"519",1
1151,"52",10
1152,"520",1
1153,"521",1
1154,"522",1
1155,"523",1
1156,"524",1
1157,"525",1
1158,"526",1
1159,"527",1
1160,"528",1
1161,"529",1
1162,"53",6
1163,"530",1
1164,"531",1
1165,"532",1
1166,"533",1
1167,"534",1
1168,"535",2
1169,"536",1
1170,"537",1
1171,"538",1
1172,"539",1
1173,"54",6
1174,"540",1
1175,"541",1
1176,"542",1
1177,"543",1
1178,"544",1
1179,"545",1
1180,"546",1
1181,"547",1
1182,"548",1
1183,"549",1
1184,"55",12
1185,"550",1
1186,"551",1
1187,"552",1
1188,"553",1
1189,"554",1
1190,"555",1
1191,"556",1
1192,"557",1
1193,"558",1
1194,"559",1
1195,"56",4
1196,"560",1
1197,"561",1
1198,"562",1
1199,"563",1
1200,"564",1
1201,"565",1
1202,"566",1
1203,"567",2
1204,"568",1
1205,"569",1
1206,"57",4
1207,"570",1
1208,"571",1
1209,"572",1
1210,"573",1
1211,"574",1
1212,"575",1
1213,"576",1
1214,"577",1
1215,"578",1
1216,"579",1
1217,"58",11
1218,"580",2
1219,"581",1
1220,"582",1
1221,"583",1
1222,"584",1
1223,"585",1
1224,"586",1
1225,"587",1
1226,"588",1
1227,"589",1
1228,"59",2
1229,"590",1
1230,"591",1
1231,"592",1
1232,"593",1
1233,"594",1
1234,"595",1
1235,"596",1
1236,"597",1
1237,"598",1
1238,"599",1
1239,"5th",1
1240,"6",187
1241,"60",6
1242,"600",5
1243,"6000",3
1244,"601",1
1245,"602",1
1246,"603",1
1247,"604",2
1248,"605",1
1249,"606",1
1250,"607",1
1251,"608",1
1252,"609",1
1253,"61",4
1254,"610",1
1255,"611",1
1256,"612",1
1257,"613",1
1258,"614",1
1259,"615",1
1260,"616",1
1261,"617",1
1262,"618",1
1263,"619",1
1264,"62",5
1265,"620",1
1266,"621",1
1267,"622",1
1268,"623",1
1269,"624",1
1270,"625",1
1271,"626",1
1272,"627",1
1273,"628",2
1274,"629",1
1275,"63",4
1276,"630",1
1277,"631",1
1278,"632",1
1279,"633",1
1280,"634",1
1281,"635",1
1282,"636",1
1283,"637",1
1284,"638",1
1285,"639",1
1286,"64",7
1287,"640",1
1288,"641",1
1289,"642",1
1290,"643",1
1291,"644",1
1292,"645",1
1293,"646",1
1294,"647",1
1295,"648",1
1296,"649",1
1297,"65",7
1298,"650",1
1299,"651",1
1300,"652",1
1301,"653",1
1302,"654",1
1303,"655",1
1304,"656",1
1305,"657",1
1306,"658",1
1307,"659",1
1308,"66",6
1309,"660",1
1310,"661",1
1311,"662",1
1312,"663",1
1313,"664",1
1314,"665",1
1315,"666",1
1316,"667",1
1317,"668",1
1318,"669",1
1319,"67",2
1320,"670",2
1321,"671",1
1322,"672",1
1323,"673",1
1324,"674",1
1325,"675",1
1326,"676",1
1327,"677",1
1328,"678",1
1329,"679",1
1330,"68",2
1331,"680",1
1332,"6800",1
1333,"681",1
1334,"682",1
1335,"683",1
1336,"684",1
1337,"685",1
1338,"686",1
1339,"687",1
1340,"688",1
1341,"689",1
1342,"69",7
1343,"690",1
1344,"691",1
1345,"692",1
1346,"693",1
1347,"694",1
1348,"695",1
1349,"696",1
1350,"697",1
1351,"698",1
1352,"699",1
1353,"6th",4
1354,"6to",1
1355,"7",175
1356,"70",8
1357,"700",5
1358,"701",1
1359,"702",1
1360,"703",1
1361,"704",1
1362,"705",1
1363,"706",1
1364,"707",1
1365,"708",1
1366,"709",1
1367,"71",2
1368,"710",1
1369,"711",1
1370,"712",1
1371,"713",1
1372,"714",1
1373,"715",1
1374,"716",1
1375,"717",1
1376,"718",1
1377,"719",1
1378,"72",4
1379,"720",1
1380,"721",1
1381,"722",1
1382,"723",1
1383,"724",1
1384,"725",1
1385,"726",1
1386,"727",1
1387,"728",1
1388,"729",1
1389,"73",1
1390,"730",1
1391,"731",1
1392,"732",1
1393,"733",1
1394,"734",1
1395,"735",1
1396,"736",1
1397,"737",1
1398,"738",1
1399,"739",1
1400,"74",4
1401,"740",1
1402,"741",1
1403,"742",1
1404,"743",1
1405,"744",1
1406,"745",2
1407,"746",1
1408,"747",1
1409,"748",1
1410,"749",1
1411,"75",2
1412,"750",1
1413,"751",1
1414,"752",1
1415,"753",1
1416,"754",1
1417,"755",2
1418,"756",1
1419,"757",1
1420,"758",1
1421,"759",1
1422,"76",2
1423,"760",1
1424,"761",1
1425,"762",1
1426,"763",1
1427,"764",1
1428,"765",1
1429,"766",1
1430,"767",1
1431,"768",1
1432,"769",1
1433,"77",8
1434,"770",1
1435,"771",1
1436,"772",1
1437,"773",1
1438,"774",1
1439,"775",1
1440,"776",1
1441,"777",1
1442,"778",1
1443,"779",1
1444,"78",4
1445,"780",1
1446,"781",1
1447,"782",1
1448,"783",1
1449,"784",1
1450,"785",1
1451,"786",1
1452,"787",1
1453,"788",1
1454,"789",1
1455,"79",1
1456,"790",1
1457,"791",1
1458,"792",1
1459,"793",1
1460,"794",1
1461,"795",1
1462,"796",1
1463,"797",1
1464,"798",1
1465,"799",1
1466,"7ma",1
1467,"7mae",1
1468,"8",149
1469,"80",4
1470,"800",6
1471,"8000",1
1472,"801",1
1473,"802",1
1474,"803",1
1475,"804",1
1476,"805",1
1477,"806",1
1478,"807",1
1479,"808",1
1480,"809",1
1481,"81",1
1482,"810",1
1483,"811",1
1484,"812",1
1485,"813",1
1486,"814",1
1487,"815",1
1488,"816",1
1489,"817",1
1490,"818",1
1491,"819",1
1492,"82",2
1493,"820",1
1494,"821",1
1495,"822",1
1496,"823",1
1497,"824",1
1498,"825",1
1499,"826",1
1500,"827",1
1501,"828",1
1502,"829",1
1503,"83",2
1504,"830",2
1505,"831",1
1506,"832",1
1507,"833",1
1508,"834",1
1509,"835",1
1510,"836",1
1511,"837",1
1512,"838",1
1513,"839",1
1514,"84",6
1515,"840",1
1516,"841",1
1517,"842",1
1518,"843",1
1519,"844",1
1520,"845",1
1521,"846",1
1522,"847",1
1523,"848",1
