"zodis","total","singular","singular.num","plural","plural.num"
"died",59,"",0,"",0
"dogs",59,"",0,"",0
"envy",59,"",0,"",0
"felix",59,"",0,"",0
"golden",59,"",0,"",0
"herbs",59,"",0,"",0
"maintain",59,"",0,"",0
"pride",59,"",0,"",0
"romans",59,"",0,"",0
"solitary",59,"",0,"",0
"suffer",59,"",0,"",0
"toys",59,"",0,"",0
"truly",59,"",0,"",0
"behold",58,"",0,"",0
"dare",58,"",0,"",0
"five",58,"",0,"",0
"ground",58,"",0,"",0
"homer",58,"",0,"",0
"hor",58,"",0,"",0
"ille",58,"",0,"",0
"law",58,"",0,"",0
"magis",58,"",0,"",0
"motion",58,"",0,"",0
"nam",58,"",0,"",0
"necessary",58,"",0,"",0
"neque",58,"",0,"",0
"servants",58,"",0,"",0
"temperature",58,"temperature",54,"temperatures",4
"truth",58,"",0,"",0
"affect",57,"",0,"",0
"cases",57,"",0,"",0
"corrupt",57,"",0,"",0
"deny",57,"",0,"",0
"ears",57,"",0,"",0
"enjoy",57,"",0,"",0
"epistle",57,"epistle",37,"epistles",20
"force",57,"",0,"",0
"having",57,"",0,"",0
"heads",57,"",0,"",0
"idleness",57,"",0,"",0
"iv",57,"",0,"",0
"lascivious",57,"",0,"",0
"liberty",57,"",0,"",0
"lose",57,"",0,"",0
"minds",57,"",0,"",0
"p",57,"",0,"",0
"pains",57,"",0,"",0
"roman",57,"",0,"",0
"spend",57,"",0,"",0
"write",57,"",0,"",0
"conclude",56,"",0,"",0
"dies",56,"",0,"",0
"holy",56,"",0,"",0
"illa",56,"",0,"",0
"immoderate",56,"",0,"",0
"looks",56,"",0,"",0
"notes",56,"",0,"",0
"offend",56,"",0,"",0
"rerum",56,"",0,"",0
"shalt",56,"",0,"",0
"thence",56,"",0,"",0
"affection",55,"",0,"",0
"curious",55,"",0,"",0
"divers",55,"",0,"",0
"favour",55,"",0,"",0
"fountain",55,"fountain",40,"fountains",15
"harm",55,"",0,"",0
"held",55,"",0,"",0
"hellebore",55,"hellebore",53,"hellebores",2
"knows",55,"",0,"",0
"multitude",55,"multitude",46,"multitudes",9
"potest",55,"",0,"",0
"priests",55,"",0,"",0
"scholars",55,"",0,"",0
"turks",55,"",0,"",0
"walk",55,"",0,"",0
"writes",55,"",0,"",0
"alway",54,"alway",2,"always",52
"angels",54,"",0,"",0
"bene",54,"",0,"",0
"certain",54,"",0,"",0
"coming",54,"",0,"",0
"consider",54,"",0,"",0
"difference",54,"difference",42,"differences",12
"dotage",54,"dotage",53,"dotages",1
"dreams",54,"",0,"",0
"habit",54,"",0,"",0
"hurt",54,"",0,"",0
"mixed",54,"",0,"",0
"observed",54,"",0,"",0
"peter",54,"",0,"",0
